t,pi_plus_base,pi_plus_foil,delta_plus,pi_minus_base,pi_minus_foil,delta_minus
0,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
1,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
2,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
3,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
4,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
5,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
6,100.0,99.99999999983937,-1.6062529084592825e-10,100.0,2.070817421204545,-97.92918257879546
7,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
8,100.0,57.92918213020604,-42.07081786979396,100.0,99.99999999983939,-1.6061107999121305e-10
9,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
10,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
11,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
12,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
13,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
14,100.0,99.99999999983937,-1.6062529084592825e-10,100.0,99.99999999983939,-1.6061107999121305e-10
15,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
16,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
17,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
18,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
19,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
20,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
21,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
22,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
23,100.0,99.99999999983939,-1.6061107999121305e-10,100.0,99.99999999983939,-1.6061107999121305e-10
