t,pi_plus_base,pi_plus_foil,delta_plus,pi_minus_base,pi_minus_foil,delta_minus
0,100.0,100.0,0.0,100.0,100.0,0.0
1,100.0,100.0,0.0,100.0,100.0,0.0
2,100.0,100.0,0.0,100.0,100.0,0.0
3,100.0,100.0,0.0,100.0,100.0,0.0
4,100.0,100.0,0.0,100.0,100.0,0.0
5,100.0,100.0,0.0,100.0,100.0,0.0
6,100.0,100.0,0.0,100.0,0.0,-100.0
7,100.0,100.0,0.0,100.0,100.0,0.0
8,100.0,95.00000011771746,-4.9999998822825376,100.0,100.0,0.0
9,100.0,100.0,0.0,100.0,100.0,0.0
10,100.0,100.0,0.0,100.0,100.0,0.0
11,100.0,100.0,0.0,100.0,100.0,0.0
12,100.0,100.0,0.0,100.0,100.0,0.0
13,100.0,100.0,0.0,100.0,100.0,0.0
14,100.0,100.0,0.0,100.0,100.0,0.0
15,100.0,100.0,0.0,100.0,100.0,0.0
16,100.0,100.0,0.0,100.0,100.0,0.0
17,100.0,100.0,0.0,100.0,100.0,0.0
18,100.0,100.0,0.0,100.0,100.0,0.0
19,100.0,100.0,0.0,100.0,100.0,0.0
20,100.0,100.0,0.0,100.0,100.0,0.0
21,100.0,100.0,0.0,100.0,100.0,0.0
22,100.0,100.0,0.0,100.0,100.0,0.0
23,100.0,100.0,0.0,100.0,100.0,0.0
