g,t,u,v,w,p_MW
0,0,1,0,0,400.0
0,1,1,0,0,480.0
0,2,1,0,0,500.0
0,3,1,0,0,500.0
0,4,1,0,0,500.0
0,5,1,0,0,475.0
0,6,1,0,0,490.0
0,7,1,0,0,390.0
0,8,1,0,0,290.0
0,9,1,0,0,190.0
0,10,1,0,0,225.0
0,11,1,0,0,242.5
0,12,1,0,0,325.0
0,13,1,0,0,370.0
0,14,1,0,0,417.5
0,15,1,0,0,415.0
0,16,1,0,0,500.0
0,17,1,0,0,500.0
0,18,1,0,0,500.0
0,19,1,0,0,500.0
0,20,1,0,0,500.0
0,21,1,0,0,500.0
0,22,1,0,0,500.0
0,23,1,0,0,500.0
1,0,1,1,0,400.0
1,1,1,0,0,300.0
1,2,1,0,0,260.0
1,3,1,0,0,250.0
1,4,1,0,0,205.0
1,5,1,0,0,150.0
1,6,0,0,1,0.0
1,7,0,0,0,0.0
1,8,0,0,0,0.0
1,9,0,0,0,0.0
1,10,0,0,0,0.0
1,11,0,0,0,0.0
1,12,0,0,0,0.0
1,13,0,0,0,0.0
1,14,0,0,0,0.0
1,15,1,1,0,150.0
1,16,1,0,0,190.0
1,17,1,0,0,270.0
1,18,1,0,0,360.0
1,19,1,0,0,385.0
1,20,1,0,0,410.0
1,21,1,0,0,370.0
1,22,1,0,0,340.0
1,23,1,0,0,320.0
2,0,0,0,0,0.0
2,1,0,0,0,0.0
2,2,0,0,0,0.0
2,3,0,0,0,0.0
2,4,0,0,0,0.0
2,5,0,0,0,0.0
2,6,0,0,0,0.0
2,7,0,0,0,0.0
2,8,0,0,0,0.0
2,9,0,0,0,0.0
2,10,0,0,0,0.0
2,11,0,0,0,0.0
2,12,0,0,0,0.0
2,13,0,0,0,0.0
2,14,0,0,0,0.0
2,15,0,0,0,0.0
2,16,0,0,0,0.0
2,17,0,0,0,0.0
2,18,0,0,0,0.0
2,19,0,0,0,0.0
2,20,0,0,0,0.0
2,21,0,0,0,0.0
2,22,0,0,0,0.0
2,23,0,0,0,0.0
