id_g,name,id_n,type,capacity_mva,max_capacity_mw,max_capacity_mvar,min_stable_level_mw,min_stable_level_mvar,fuel_cost,start_up_cost_aud,shut_down_cost_aud,t_up_h,t_dn_h,r_up_mw,r_dn_mw,x_g,losses,inertia_s,zone,v_nominal_kv
1,AGUAS_BLANCAS,151,Diesel,51,2,51,0,-51,216.066238289763,6.597347855,6.597347855,0,0,2,2,0.28500001132488256,0.03,3.259999990463257,NG,13.19999980926514
2,ANDES_U1_FO6,67,Diesel,6.040251142,6.040251142,6.040251142,0,-6.040251142,153.4965227913056,229.0499158,6.181372211,0,0,6.040251142,6.040251142,0.25850000232458115,0.03,0.3799999952316284,NG,0.4000000059604645
3,ANDES_U2_FO6,67,Diesel,6.040251142,6.040251142,6.040251142,0,-6.040251142,153.4965227913056,229.0499158,6.181372211,0,0,6.040251142,6.040251142,0.42000000178813934,0.03,6.130000114440918,NG,21
4,ANDES_U3_FO6,67,Diesel,6.5,6.5,6.5,0,-6.5,154.8411190469138,229.4019704,6.257305556,0,0,6.5,6.5,0.43435001373291016,0.03,2.5,NG,11.5
5,ANDES_U4_FO6,67,Diesel,134.0640029907228,13,134.0640029907228,0,-134.0640029907228,158.8396284078931,313.3189947,11.23104732,0,0,13,13,0.27150000631809235,0.03,3,NG,0.4149999916553497
6,ANDINA,35,Coal,177,177,177,70,-177,75.0055125006773,134871.396,17785.80261,48,48,107,107,0.2745000049471855,0.03,7.57,NG,15.75
7,ANGAMOS_1,14,Coal,267.5,267.5,267.5,51.7,-267.5,323.2911989259343,47780.07413,11335.25935,48,48,215.8,215.8,0.221000000834465,0.03,3.1875,NG,13.19999980926514
8,ANGAMOS_2,14,Coal,271.6,271.6,271.6,51.7,-271.6,327.9192154803113,47780.07413,11335.25935,48,48,219.90000000000003,219.90000000000003,0.5159999951720238,0.03,4.8,NG,18
9,ANTILHUE_U1,224,Diesel,47.198,47.198,47.198,0,-47.198,57.19694617065888,800.4113068,455.6647725,0,0,47.198,47.198,0.24599999189376828,0.03,4.950000762939453,S,13.30000019073486
10,ANTILHUE_U2,224,Diesel,48.725,48.725,48.725,0,-48.725,57.29694303156879,736.2194777,452.1386266,0,0,48.725,48.725,0.4129999876022339,0.03,4.32000207901001,S,13.80000019073486
11,ARAUCO,93,Biomass,2,57,2,5,-2,38.86593148062273,0,0,0,0,52,52,0.2806500047445297,0.03,1.389999985694885,S,0.4000000059604645
12,ARICA_GM,69,Diesel,6.3008817,6.3008817,6.3008817,1,-6.3008817,270.8252138186271,49.6833511,9.370740883,0,0,5.3008817,5.3008817,0.2905000001192093,0.03,0.7799999713897705,NG,0.4000000059604645
13,ARICA_M1,69,Diesel,1.54979981,1.54979981,1.54979981,0.5,-1.54979981,268.6960392695374,22.41198341,2.908532945,0,0,1.04979981,1.04979981,0.3410000056028366,0.03,4.480000019073486,NG,10.5
14,ARICA_M2,69,Diesel,1.88572322,1.88572322,1.88572322,1,-1.88572322,262.3914079972602,33.3236899,3.650528986,0,0,0.88572322,0.88572322,0.3410000056028366,0.03,4.480000019073486,NG,10.5
15,ATA-TG2A+TG2B+TV2C_GNL_E,22,OCGT,384.7,384.7,384.7,120.5,-384.7,100.3908633082416,0,0,0,0,264.2,264.2,0.346000000834465,0.03,6,NG,10.5
16,CALLE CALLE,224,Diesel,0.6000000238418579,9.732600294,0.6000000238418579,0,-0.6000000238418579,240.4706140840212,165.0788272,222.3709998,0,0,9.732600294,9.732600294,0.19500000029802325,0.03,7.067999839782715,S,0.3799999952316284
17,CAMPICHE,226,Coal,272,272,272,61,-272,151.6536770342362,105889,1402,48,48,211,211,0.5159999951720238,0.03,6.8,C,18
18,CANDELARIA_1_GN_A,28,OCGT,330,125.3,330,59.4,-330,63.51725781605609,0,0,2,2,65.9,65.9,0.5159999951720238,0.03,3.859999895095825,C,18
19,CANDELARIA_2_GN_A,28,OCGT,330,128.6,330,59.4,-330,156.5394789030719,0,0,2,2,69.19999999999999,69.19999999999999,0.5159999951720238,0.03,3.859999895095825,C,18
20,CARDONES,33,Diesel,32.47100067138672,154.2,32.47100067138672,59.2,-32.47100067138672,281.0601704284205,4998.36062,1857.269493,0,0,94.99999999999999,94.99999999999999,0.4050000011920929,0.03,1.376000046730042,NC,9.5
21,CELCO_BL1+BL2,61,Biomass,8,8,8,2,-8,119.8122052566935,0,0,0,0,6,6,0.2880000025033951,0.03,10.25999927520752,S,11.5
22,CEMENTOS_BIOBIO_FO6,212,Diesel,3,12.09,3,0,-3,366.3532628154089,790,0,0,0,12.09,12.09,0.23500000685453415,0.03,0.3499999940395355,C,12
23,CENIZAS,32,Diesel,12.22200012207031,14.96,12.22200012207031,0,-12.22200012207031,260.1499371394364,0,0,0,0,14.96,14.96,0.300000011920929,0.03,0.9999999403953552,NC,11.5
24,CERRO_DOMINADOR_CS,83,Thermosolar,12,110,12,10,-12,0.904,440.8429152,531.7852056,8,8,100,100,0.2565000057220459,0.03,1.389999985694885,NG,0.4000000059604645
25,CERRO_PABELLON_U1,59,Geothermal,29.83,29.83,29.83,24,-29.83,0,116.725707,139.3177793,168,168,5.829999999999998,5.829999999999998,0.2757500037550927,0.03,4.099999904632568,NG,13.80000019073486
26,CERRO_PABELLON_U2,59,Geothermal,29.83,29.83,29.83,24,-29.83,0,116.725707,139.3177793,168,168,5.829999999999998,5.829999999999998,0.3100000098347664,0.03,3.999999761581421,NG,15
27,CERRO_PABELLON_U3,59,Geothermal,165,29.83,165,24,-165,0,116.725707,139.3177793,168,168,5.829999999999998,5.829999999999998,0.32249999791383743,0.03,6.25,NG,15
