id_g,name,id_n,type,capacity_mva,max_capacity_mw,max_capacity_mvar,min_stable_level_mw,min_stable_level_mvar,fuel_cost,start_up_cost_aud,shut_down_cost_aud,t_up_h,t_dn_h,r_up_mw,r_dn_mw,x_g,losses,inertia_s,zone,v_nominal_kv
201,COAL_BASE_1,1,Coal,350,332,350,60,-350,34.0,8000,1600,6,5,110,110,0.275,0.03,7.5,A,13.8
202,COAL_BASE_2,2,Coal,280,266,280,85,-280,32.0,7500,1500,8,6,150,150,0.285,0.03,7.0,A,13.8
203,COAL_MID_1,3,Coal,180,165,180,45,-180,36.0,6000,1200,6,5,100,100,0.27,0.03,6.5,B,13.8
204,COAL_MID_2,4,Coal,160,152,160,38,-160,33.0,5500,1100,6,5,95,95,0.268,0.03,6.0,B,13.8
205,COAL_SMALL_1,5,Coal,110,100,110,25,-110,40.0,2500,500,4,3,60,60,0.295,0.03,5.5,C,11.0
211,NUCLEAR_1,10,Nuclear,1100,1000,1100,400,-1100,6.0,200000,40000,24,24,80,80,0.22,0.03,7.5,A,20.0
212,NUCLEAR_2,11,Nuclear,1150,1040,1150,420,-1150,7.0,220000,44000,24,24,80,80,0.218,0.03,7.5,A,20.0
221,CCGT_LG_1,20,CCGT,400,370,400,120,-400,48.0,9000,1800,4,3,200,200,0.31,0.03,6.0,A,13.8
222,CCGT_LG_2,21,CCGT,400,365,400,115,-400,50.0,9000,1800,4,3,200,200,0.315,0.03,6.0,A,13.8
223,CCGT_MD_1,22,CCGT,250,230,250,75,-250,52.0,6000,1200,3,2,130,130,0.32,0.03,5.5,B,13.8
224,CCGT_MD_2,23,CCGT,200,190,200,60,-200,54.0,5000,1000,3,2,110,110,0.325,0.03,5.5,B,13.8
225,CCGT_SM_1,24,CCGT,150,140,150,40,-150,56.0,3500,700,2,2,80,80,0.335,0.03,5.0,C,11.0
231,OCGT_PEAK_1,30,OCGT,200,190,200,10,-200,85.0,1500,300,1,1,190,190,0.34,0.03,5.0,A,13.8
232,OCGT_PEAK_2,31,OCGT,150,140,150,10,-150,88.0,1200,240,1,1,140,140,0.345,0.03,4.8,A,13.8
233,OCGT_PEAK_3,32,OCGT,100,95,100,5,-100,92.0,800,160,1,1,95,95,0.35,0.03,4.5,B,11.0
234,OCGT_FAST_1,33,OCGT,80,75,80,0,-80,90.0,600,120,1,1,75,75,0.355,0.03,4.0,B,11.0
241,DIESEL_EMG_1,40,Diesel,60,55,60,0,-60,130.0,400,80,0,0,55,55,0.29,0.03,3.5,C,11.0
242,DIESEL_EMG_2,41,Diesel,50,48,50,0,-50,135.0,350,70,0,0,48,48,0.285,0.03,3.2,C,11.0
243,DIESEL_EMG_3,42,Diesel,30,28,30,0,-30,140.0,200,40,0,0,28,28,0.28,0.03,3.0,D,11.0
251,HYDRO_LG_1,50,Hydro,600,540,600,0,-600,2.0,500,100,1,1,300,300,0.195,0.03,4.5,A,15.0
252,HYDRO_LG_2,51,Hydro,900,830,900,0,-900,2.5,600,120,1,1,400,400,0.19,0.03,5.0,A,15.0
253,HYDRO_MD_1,52,Hydro,200,185,200,0,-200,3.0,200,40,1,1,185,185,0.22,0.03,4.0,B,13.8
254,HYDRO_SM_1,53,Hydro,80,75,80,0,-80,3.5,100,20,1,1,75,75,0.25,0.03,3.5,C,11.0
261,BIOMASS_1,60,Biomass,60,55,60,5,-60,45.0,0,0,0,0,50,50,0.28,0.03,3.0,B,11.0
262,BIOMASS_2,61,Biomass,40,38,40,2,-40,48.0,0,0,0,0,36,36,0.285,0.03,2.8,C,11.0
271,CSP_1,70,Thermosolar,120,110,120,10,-120,5.0,500,600,8,8,100,100,0.26,0.03,4.0,A,13.8
281,GEO_1,80,Geothermal,30,29,30,24,-30,0.0,120,140,168,168,6,6,0.275,0.03,4.0,A,13.8
282,GEO_2,81,Geothermal,30,29,30,24,-30,0.0,120,140,168,168,6,6,0.31,0.03,4.0,A,13.8
