s,g,t,p_MW
0,0,0,400.0
0,1,0,320.0
0,2,0,0.0
0,0,1,482.0
0,1,1,220.0
0,2,1,0.0
0,0,2,500.0
0,1,2,184.0
0,2,2,0.0
0,0,3,500.0
0,1,3,175.0
0,2,3,0.0
0,0,4,452.0
0,1,4,176.0
0,2,4,0.0
0,0,5,352.0
0,1,5,191.0
0,2,5,0.0
0,0,6,252.0
0,1,6,150.0
0,2,6,0.0
0,0,7,270.0
0,1,7,0.0
0,2,7,0.0
0,0,8,170.0
0,1,8,0.0
0,2,8,0.0
0,0,9,100.0
0,1,9,0.0
0,2,9,0.0
0,0,10,105.0
0,1,10,0.0
0,2,10,0.0
0,0,11,117.5
0,1,11,0.0
0,2,11,0.0
0,0,12,195.0
0,1,12,0.0
0,2,12,0.0
0,0,13,242.0
0,1,13,0.0
0,2,13,0.0
0,0,14,200.0
0,1,14,150.0
0,2,14,0.0
0,0,15,300.0
0,1,15,150.0
0,2,15,0.0
0,0,16,400.0
0,1,16,182.0
0,2,16,0.0
0,0,17,500.0
0,1,17,167.0
0,2,17,0.0
0,0,18,500.0
0,1,18,261.0
0,2,18,0.0
0,0,19,500.0
0,1,19,290.0
0,2,19,0.0
0,0,20,500.0
0,1,20,319.0
0,2,20,0.0
0,0,21,500.0
0,1,21,283.0
0,2,21,0.0
0,0,22,500.0
0,1,22,256.0
0,2,22,0.0
0,0,23,500.0
0,1,23,238.0
0,2,23,0.0
1,0,0,400.0
1,1,0,400.0
1,2,0,0.0
1,0,1,480.0
1,1,1,300.0
1,2,1,0.0
1,0,2,500.0
1,1,2,260.0
1,2,2,0.0
1,0,3,500.0
1,1,3,250.0
1,2,3,0.0
1,0,4,500.0
1,1,4,205.0
1,2,4,0.0
1,0,5,440.0
1,1,5,185.0
1,2,5,0.0
1,0,6,340.0
1,1,6,150.0
1,2,6,0.0
1,0,7,365.0
1,1,7,0.0
1,2,7,0.0
1,0,8,265.0
1,1,8,0.0
1,2,8,0.0
1,0,9,190.0
1,1,9,0.0
1,2,9,0.0
1,0,10,225.0
1,1,10,0.0
1,2,10,0.0
1,0,11,242.5
1,1,11,0.0
1,2,11,0.0
1,0,12,325.0
1,1,12,0.0
1,2,12,0.0
1,0,13,370.0
1,1,13,0.0
1,2,13,0.0
1,0,14,270.0
1,1,14,150.0
1,2,14,0.0
1,0,15,370.0
1,1,15,195.0
1,2,15,0.0
1,0,16,470.0
1,1,16,220.0
1,2,16,0.0
1,0,17,500.0
1,1,17,270.0
1,2,17,0.0
1,0,18,500.0
1,1,18,360.0
1,2,18,0.0
1,0,19,500.0
1,1,19,385.0
1,2,19,0.0
1,0,20,500.0
1,1,20,410.0
1,2,20,0.0
1,0,21,500.0
1,1,21,370.0
1,2,21,0.0
1,0,22,500.0
1,1,22,340.0
1,2,22,0.0
1,0,23,500.0
1,1,23,320.0
1,2,23,0.0
2,0,0,400.0
2,1,0,480.0
2,2,0,0.0
2,0,1,478.0
2,1,1,380.0
2,2,1,0.0
2,0,2,500.0
2,1,2,336.0
2,2,2,0.0
2,0,3,500.0
2,1,3,325.0
2,2,3,0.0
2,0,4,500.0
2,1,4,282.0
2,2,4,0.0
2,0,5,500.0
2,1,5,207.0
2,2,5,0.0
2,0,6,428.0
2,1,6,150.0
2,2,6,0.0
2,0,7,460.0
2,1,7,0.0
2,2,7,0.0
2,0,8,360.0
2,1,8,0.0
2,2,8,0.0
2,0,9,300.0
2,1,9,0.0
2,2,9,0.0
2,0,10,345.0
2,1,10,0.0
2,2,10,0.0
2,0,11,367.5
2,1,11,0.0
2,2,11,0.0
2,0,12,455.0
2,1,12,0.0
2,2,12,0.0
2,0,13,498.0
2,1,13,0.0
2,2,13,0.0
2,0,14,398.0
2,1,14,150.0
2,2,14,0.0
2,0,15,482.0
2,1,15,198.0
2,2,15,0.0
2,0,16,500.0
2,1,16,298.0
2,2,16,0.0
2,0,17,500.0
2,1,17,373.0
2,2,17,0.0
2,0,18,500.0
2,1,18,459.0
2,2,18,0.0
2,0,19,500.0
2,1,19,480.0
2,2,19,0.0
2,0,20,500.0
2,1,20,501.0
2,2,20,0.0
2,0,21,500.0
2,1,21,457.0
2,2,21,0.0
2,0,22,500.0
2,1,22,424.0
2,2,22,0.0
2,0,23,500.0
2,1,23,402.0
2,2,23,0.0
