id_gen,bus_id,tipo_tech,fuel_orig,Pmax,Pmin,Costo_Var,Inercia_H,Emisiones_tCO2_MWh,Es_IBR,Gamma,Kappa,Costo_Inv,Gamma_max,Kappa_max
223_STEAM_1,223,COAL,Coal,155.0,62,35.0,3.0,0.95,0,0.0,0.0,6946000.0,0.0,0.0
223_STEAM_2,223,COAL,Coal,155.0,62,35.0,3.0,0.95,0,0.0,0.0,6946000.0,0.0,0.0
223_STEAM_3,223,COAL,Coal,350.0,140,35.0,3.0,0.95,0,0.0,0.0,6946000.0,0.0,0.0
223_CT_4,223,CT,NG,55.0,22,95.0,2.8,0.55,0,0.0,0.0,2940000.0,0.0,0.0
223_CT_5,223,CT,NG,55.0,22,95.0,2.8,0.55,0,0.0,0.0,2940000.0,0.0,0.0
314_PV_1,314,PV,Solar,51.6,0,2.0,0.0,0.0,1,0.01,0.1,1621000.0,0.05,0.2
314_PV_2,314,PV,Solar,51.6,0,2.0,0.0,0.0,1,0.01,0.1,1621000.0,0.05,0.2
313_PV_1,313,PV,Solar,95.1,0,2.0,0.0,0.0,1,0.01,0.1,1621000.0,0.05,0.2
314_PV_3,314,PV,Solar,92.7,0,2.0,0.0,0.0,1,0.01,0.1,1621000.0,0.05,0.2
314_PV_4,314,PV,Solar,51.6,0,2.0,0.0,0.0,1,0.01,0.1,1621000.0,0.05,0.2
313_PV_2,313,PV,Solar,93.3,0,2.0,0.0,0.0,1,0.01,0.1,1621000.0,0.05,0.2
212_CSP_1,212,PV,Solar,200.0,30,2.0,0.0,0.0,1,0.01,0.1,1621000.0,0.05,0.2
313_RTPV_1,313,PV,Solar,101.7,0,2.0,0.0,0.0,1,0.01,0.1,1621000.0,0.05,0.2
313_RTPV_2,313,PV,Solar,63.1,0,2.0,0.0,0.0,1,0.01,0.1,1621000.0,0.05,0.2
