bus,periodo,demanda_mw
1,1,0.0
1,7,0.0
1,13,0.0
1,19,0.0
2,1,4.34
2,7,4.5569999999999995
2,13,6.51
2,19,6.292999999999999
3,1,18.84
3,7,19.782
3,13,28.26
3,19,27.317999999999998
4,1,9.56
4,7,10.037999999999998
4,13,14.339999999999998
4,19,13.861999999999998
5,1,1.52
5,7,1.5959999999999999
5,13,2.28
5,19,2.2039999999999997
6,1,2.2399999999999998
6,7,2.352
6,13,3.36
6,19,3.2479999999999998
7,1,0.0
7,7,0.0
7,13,0.0
7,19,0.0
8,1,0.0
8,7,0.0
8,13,0.0
8,19,0.0
9,1,5.9
9,7,6.194999999999999
9,13,8.85
9,19,8.555
10,1,1.8
10,7,1.89
10,13,2.6999999999999997
10,19,2.61
11,1,0.7000000000000001
11,7,0.735
11,13,1.05
11,19,1.015
12,1,1.22
12,7,1.281
12,13,1.8299999999999998
12,19,1.7689999999999997
13,1,2.7
13,7,2.835
13,13,4.05
13,19,3.9149999999999996
14,1,2.9800000000000004
14,7,3.129
14,13,4.47
14,19,4.321
