line_id,from_bus,to_bus,resistance_pu,reactance_pu,line_charging_pu,tap_ratio,phase_shift_deg
L1,1,2,0.0035,0.0411,0.6987,1.0,0.0
L2,1,39,0.001,0.025,0.75,1.0,0.0
L3,2,3,0.0013,0.0151,0.2572,1.0,0.0
L4,2,25,0.007,0.0086,0.146,1.0,0.0
L5,3,4,0.0013,0.0213,0.2214,1.0,0.0
L6,3,18,0.0011,0.0133,0.2138,1.0,0.0
L7,4,5,0.0008,0.0128,0.1342,1.0,0.0
L8,4,14,0.0008,0.0129,0.1382,1.0,0.0
L9,5,6,0.0002,0.0026,0.0434,1.0,0.0
L10,5,8,0.0008,0.0112,0.1476,1.0,0.0
L11,6,7,0.0006,0.0092,0.113,1.0,0.0
L12,6,11,0.0007,0.0082,0.1389,1.0,0.0
L13,7,8,0.0004,0.0046,0.078,1.0,0.0
L14,8,9,0.0023,0.0363,0.3804,1.0,0.0
L15,9,39,0.001,0.025,1.2,1.0,0.0
L16,10,11,0.0004,0.0043,0.0729,1.0,0.0
L17,10,13,0.0004,0.0043,0.0729,1.0,0.0
L18,13,14,0.0009,0.0101,0.1723,1.0,0.0
L19,14,15,0.0018,0.0217,0.366,1.0,0.0
L20,15,16,0.0009,0.0094,0.171,1.0,0.0
L21,16,17,0.0007,0.0089,0.1342,1.0,0.0
L22,16,19,0.0016,0.0195,0.304,1.0,0.0
L23,16,21,0.0008,0.0135,0.2548,1.0,0.0
L24,16,24,0.0003,0.0059,0.068,1.0,0.0
L25,17,18,0.0007,0.0082,0.1319,1.0,0.0
L26,17,27,0.0013,0.0173,0.3216,1.0,0.0
L27,21,22,0.0008,0.014,0.2565,1.0,0.0
L28,22,23,0.0006,0.0096,0.1846,1.0,0.0
L29,23,24,0.0022,0.035,0.361,1.0,0.0
L30,25,26,0.0032,0.0323,0.513,1.0,0.0
L31,26,27,0.0014,0.0147,0.2396,1.0,0.0
L32,26,28,0.0043,0.0474,0.7802,1.0,0.0
L33,26,29,0.0057,0.0625,1.029,1.0,0.0
L34,28,29,0.0014,0.0151,0.249,1.0,0.0
L35,2,30,0.0,0.0181,0.0,1.0,0.0
L36,31,6,0.0,0.025,0.0,1.0,0.0
L37,10,32,0.0,0.02,0.0,1.0,0.0
L38,12,11,0.0016,0.0435,0.0,1.0,0.0
L39,12,13,0.0016,0.0435,0.0,1.0,0.0
L40,19,20,0.0007,0.0138,0.0,1.0,0.0
L41,19,33,0.0007,0.0142,0.0,1.0,0.0
L42,20,34,0.0009,0.018,0.0,1.0,0.0
L43,22,35,0.0,0.0143,0.0,1.0,0.0
L44,23,36,0.0005,0.0272,0.0,1.0,0.0
L45,25,37,0.0006,0.0232,0.0,1.0,0.0
L46,29,38,0.0008,0.0156,0.0,1.0,0.0
