linea,desde,hacia,x,fmax
1,1,2,0.028,100.0
2,2,3,0.085,100.0
3,3,4,0.0366,100.0
4,4,5,0.132,100.0
5,4,6,0.148,100.0
6,6,7,0.102,100.0
7,6,8,0.173,100.0
8,8,9,0.0505,100.0
9,9,10,0.1679,100.0
10,9,11,0.0848,100.0
11,9,12,0.295,100.0
12,9,13,0.158,100.0
13,13,14,0.0434,100.0
14,13,15,0.0869,100.0
15,1,15,0.091,100.0
16,1,16,0.206,100.0
17,1,17,0.108,100.0
18,3,15,0.053,100.0
19,4,18,0.555,100.0
20,4,18,0.43,100.0
21,5,6,0.0641,100.0
22,7,8,0.0712,100.0
23,10,12,0.1262,100.0
24,11,13,0.0732,100.0
25,12,13,0.058,100.0
26,12,16,0.0813,100.0
27,12,17,0.179,100.0
28,14,15,0.0547,100.0
29,18,19,0.685,100.0
30,19,20,0.434,100.0
31,21,20,0.7767,100.0
32,21,22,0.117,100.0
33,22,23,0.0152,100.0
34,23,24,0.256,100.0
35,24,25,1.182,100.0
36,24,25,1.23,100.0
37,24,26,0.0473,100.0
38,26,27,0.254,100.0
39,27,28,0.0954,100.0
40,28,29,0.0587,100.0
41,7,29,0.0648,100.0
42,25,30,0.202,100.0
43,30,31,0.497,100.0
44,31,32,0.755,100.0
45,32,33,0.036,100.0
46,34,32,0.953,100.0
47,34,35,0.078,100.0
48,35,36,0.0537,100.0
49,36,37,0.0366,100.0
50,37,38,0.1009,100.0
51,37,39,0.0379,100.0
52,36,40,0.0466,100.0
53,22,38,0.0295,100.0
54,11,41,0.749,100.0
55,41,42,0.352,100.0
56,41,43,0.412,100.0
57,38,44,0.0585,100.0
58,15,45,0.1042,100.0
59,14,46,0.0735,100.0
60,46,47,0.068,100.0
61,47,48,0.0233,100.0
62,48,49,0.129,100.0
63,49,50,0.128,100.0
64,50,51,0.22,100.0
65,10,51,0.0712,100.0
66,13,49,0.191,100.0
67,29,52,0.187,100.0
68,52,53,0.0984,100.0
69,53,54,0.232,100.0
70,54,55,0.2265,100.0
71,11,43,0.153,100.0
72,44,45,0.1242,100.0
73,40,56,1.195,100.0
74,56,41,0.549,100.0
75,56,42,0.354,100.0
76,39,57,1.355,100.0
77,57,56,0.26,100.0
78,38,49,0.177,100.0
79,38,48,0.0482,100.0
80,9,55,0.1205,100.0
