b,t,pi_plus_base,pi_plus_new,delta_plus,pi_minus_base,pi_minus_new,delta_minus
0,0,2.0,2.0,0.0,2.0,2.0,0.0
0,1,2.0,2.0,0.0,2.0,2.0,0.0
0,2,2.0,2.0,0.0,2.0,2.0,0.0
0,3,2.0,2.0,0.0,2.0,2.0,0.0
0,4,2.0,2.0,0.0,2.0,2.0,0.0
0,5,2.0,2.0,0.0,2.0,2.0,0.0
1,0,2.0,2.0,0.0,2.0,2.0,0.0
1,1,2.0,2.0,0.0,2.0,2.0,0.0
1,2,2.0,2.0,0.0,2.0,2.0,0.0
1,3,2.0,2.0,0.0,2.0,2.0,0.0
1,4,2.0,2.0,0.0,2.0,2.0,0.0
1,5,2.0,2.0,0.0,2.0,2.0,0.0
2,0,2.0,2.0,0.0,2.0,2.0,0.0
2,1,2.0,2.0,0.0,2.0,2.0,0.0
2,2,2.0,2.0,0.0,2.0,2.0,0.0
2,3,2.0,2.0,0.0,2.0,2.0,0.0
2,4,2.0,2.0,0.0,2.0,2.0,0.0
2,5,2.0,2.0,0.0,2.0,2.0,0.0
