t,pi_plus_base,pi_plus_foil,delta_plus,pi_minus_base,pi_minus_foil,delta_minus
0,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
1,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
2,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
3,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
4,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
5,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
6,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
7,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
8,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
9,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
10,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
11,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
12,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
13,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
14,100.0,99.99999999990567,-9.43316535995109e-11,100.0,27.386831275119164,-72.61316872488084
15,100.0,27.38683127511918,-72.61316872488082,100.0,99.99999999990567,-9.43316535995109e-11
16,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
17,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
18,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
19,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
20,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
21,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
22,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
23,100.0,99.99999999990567,-9.43316535995109e-11,100.0,99.99999999990567,-9.43316535995109e-11
